DL_YMD,SEND_CTPV_NM,SEND_CTPV_CD,SEND_CTGG_NM,SEND_CTGG_CD,REC_CTPV_NM,REC_CTPV_CD,E_C_01,E_C_02,E_C_03,E_C_04,E_C_05,E_C_06,E_C_07,E_C_08,E_C_09,E_C_10,E_C_11
20230405,서울특별시,11.0,광진구,11215.0,서울특별시,11.0,147.0,622.0,172.0,689.0,761.0,116.0,249.0,118.0,1850.0,860.0,189.0
20230405,서울특별시,11.0,광진구,11215.0,부산광역시,26.0,33.0,132.0,60.0,139.0,203.0,41.0,76.0,45.0,494.0,215.0,48.0
20230405,서울특별시,11.0,광진구,11215.0,대구광역시,27.0,28.0,83.0,29.0,116.0,161.0,27.0,63.0,28.0,337.0,146.0,31.0
20230405,서울특별시,11.0,광진구,11215.0,인천광역시,28.0,36.0,140.0,30.0,149.0,232.0,25.0,76.0,31.0,538.0,207.0,48.0
20230405,서울특별시,11.0,광진구,11215.0,광주광역시,29.0,12.0,62.0,20.0,89.0,93.0,15.0,19.0,23.0,272.0,116.0,26.0
20230405,서울특별시,11.0,광진구,11215.0,대전광역시,30.0,22.0,70.0,17.0,111.0,101.0,9.0,34.0,18.0,260.0,91.0,22.0
20230405,서울특별시,11.0,광진구,11215.0,울산광역시,31.0,11.0,42.0,10.0,45.0,76.0,9.0,23.0,6.0,146.0,60.0,16.0
20230405,서울특별시,11.0,광진구,11215.0,세종특별자치시,36.0,7.0,10.0,8.0,14.0,34.0,3.0,9.0,4.0,64.0,23.0,5.0
20230405,서울특별시,11.0,광진구,11215.0,경기도,41.0,192.0,786.0,207.0,750.0,1168.0,229.0,353.0,173.0,2725.0,1028.0,262.0
20230405,서울특별시,11.0,광진구,11215.0,강원도,42.0,20.0,62.0,13.0,73.0,154.0,26.0,27.0,24.0,256.0,107.0,28.0
20230405,서울특별시,11.0,광진구,11215.0,충청북도,43.0,25.0,58.0,13.0,81.0,151.0,14.0,42.0,14.0,269.0,96.0,24.0
20230405,서울특별시,11.0,광진구,11215.0,충청남도,44.0,30.0,78.0,17.0,97.0,192.0,26.0,71.0,25.0,332.0,136.0,37.0
20230405,서울특별시,11.0,광진구,11215.0,전라북도,45.0,22.0,71.0,11.0,74.0,143.0,19.0,39.0,14.0,262.0,100.0,18.0
20230405,서울특별시,11.0,광진구,11215.0,전라남도,46.0,28.0,43.0,11.0,96.0,159.0,15.0,31.0,21.0,221.0,114.0,13.0
20230405,서울특별시,11.0,광진구,11215.0,경상북도,47.0,37.0,64.0,14.0,92.0,175.0,24.0,50.0,26.0,354.0,136.0,33.0
20230405,서울특별시,11.0,광진구,11215.0,경상남도,48.0,25.0,104.0,17.0,143.0,243.0,34.0,62.0,31.0,433.0,170.0,50.0
20230405,서울특별시,11.0,광진구,11215.0,제주특별자치도,50.0,0.0,15.0,8.0,95.0,55.0,4.0,16.0,0.0,64.0,16.0,12.0
20230421,서울특별시,11.0,광진구,11215.0,서울특별시,11.0,135.0,553.0,210.0,381.0,854.0,83.0,265.0,94.0,1965.0,717.0,155.0
20230421,서울특별시,11.0,광진구,11215.0,부산광역시,26.0,37.0,124.0,39.0,74.0,219.0,24.0,51.0,32.0,504.0,202.0,38.0
20230421,서울특별시,11.0,광진구,11215.0,대구광역시,27.0,22.0,80.0,25.0,75.0,177.0,25.0,37.0,16.0,409.0,140.0,38.0
20230421,서울특별시,11.0,광진구,11215.0,인천광역시,28.0,40.0,120.0,33.0,103.0,285.0,17.0,48.0,16.0,545.0,199.0,56.0
20230421,서울특별시,11.0,광진구,11215.0,광주광역시,29.0,12.0,47.0,9.0,39.0,133.0,10.0,22.0,16.0,322.0,94.0,19.0
20230421,서울특별시,11.0,광진구,11215.0,대전광역시,30.0,19.0,63.0,9.0,40.0,154.0,11.0,37.0,9.0,281.0,95.0,23.0
20230421,서울특별시,11.0,광진구,11215.0,울산광역시,31.0,10.0,45.0,11.0,35.0,85.0,13.0,22.0,12.0,167.0,66.0,20.0
20230421,서울특별시,11.0,광진구,11215.0,세종특별자치시,36.0,4.0,15.0,4.0,10.0,41.0,6.0,6.0,4.0,91.0,32.0,8.0
20230421,서울특별시,11.0,광진구,11215.0,경기도,41.0,181.0,784.0,208.0,463.0,1464.0,176.0,370.0,152.0,2928.0,983.0,269.0
20230421,서울특별시,11.0,광진구,11215.0,강원도,42.0,18.0,55.0,21.0,50.0,150.0,17.0,29.0,17.0,246.0,95.0,21.0
20230421,서울특별시,11.0,광진구,11215.0,충청북도,43.0,17.0,60.0,22.0,28.0,153.0,25.0,46.0,11.0,279.0,108.0,20.0
20230421,서울특별시,11.0,광진구,11215.0,충청남도,44.0,25.0,70.0,32.0,67.0,229.0,23.0,49.0,26.0,374.0,126.0,37.0
20230421,서울특별시,11.0,광진구,11215.0,전라북도,45.0,11.0,54.0,25.0,31.0,127.0,11.0,20.0,16.0,354.0,106.0,19.0
20230421,서울특별시,11.0,광진구,11215.0,전라남도,46.0,12.0,51.0,8.0,43.0,161.0,16.0,36.0,15.0,247.0,89.0,20.0
20230421,서울특별시,11.0,광진구,11215.0,경상북도,47.0,31.0,74.0,21.0,78.0,204.0,23.0,49.0,21.0,373.0,121.0,30.0
20230421,서울특별시,11.0,광진구,11215.0,경상남도,48.0,38.0,111.0,26.0,100.0,240.0,32.0,59.0,24.0,510.0,181.0,47.0
20230421,서울특별시,11.0,광진구,11215.0,제주특별자치도,50.0,3.0,13.0,5.0,9.0,41.0,4.0,6.0,5.0,90.0,26.0,6.0
20230426,서울특별시,11.0,중랑구,11260.0,서울특별시,11.0,202.0,929.0,207.0,324.0,755.0,324.0,807.0,129.0,1746.0,799.0,433.0
20230426,서울특별시,11.0,중랑구,11260.0,부산광역시,26.0,48.0,225.0,55.0,119.0,297.0,72.0,261.0,51.0,473.0,228.0,116.0
20230426,서울특별시,11.0,중랑구,11260.0,대구광역시,27.0,40.0,158.0,31.0,78.0,207.0,56.0,136.0,28.0,312.0,127.0,93.0
20230426,서울특별시,11.0,중랑구,11260.0,인천광역시,28.0,52.0,257.0,54.0,106.0,284.0,74.0,221.0,53.0,494.0,204.0,118.0
20230426,서울특별시,11.0,중랑구,11260.0,광주광역시,29.0,29.0,125.0,27.0,62.0,119.0,57.0,89.0,25.0,255.0,98.0,60.0
20230426,서울특별시,11.0,중랑구,11260.0,대전광역시,30.0,24.0,139.0,19.0,55.0,124.0,56.0,123.0,22.0,210.0,101.0,44.0
20230426,서울특별시,11.0,중랑구,11260.0,울산광역시,31.0,15.0,86.0,14.0,41.0,98.0,28.0,83.0,18.0,164.0,52.0,30.0
20230426,서울특별시,11.0,중랑구,11260.0,세종특별자치시,36.0,9.0,34.0,8.0,13.0,32.0,16.0,22.0,11.0,71.0,40.0,12.0
20230426,서울특별시,11.0,중랑구,11260.0,경기도,41.0,298.0,1319.0,281.0,454.0,1285.0,497.0,1050.0,219.0,2640.0,1063.0,544.0
20230426,서울특별시,11.0,중랑구,11260.0,강원도,42.0,39.0,116.0,21.0,92.0,139.0,52.0,118.0,21.0,189.0,86.0,57.0
20230426,서울특별시,11.0,중랑구,11260.0,충청북도,43.0,39.0,122.0,30.0,61.0,166.0,50.0,88.0,20.0,278.0,98.0,73.0
20230426,서울특별시,11.0,중랑구,11260.0,충청남도,44.0,53.0,189.0,26.0,95.0,207.0,74.0,185.0,37.0,371.0,147.0,82.0
20230426,서울특별시,11.0,중랑구,11260.0,전라북도,45.0,30.0,303.0,29.0,80.0,158.0,47.0,121.0,19.0,257.0,97.0,47.0
20230426,서울특별시,11.0,중랑구,11260.0,전라남도,46.0,45.0,133.0,23.0,54.0,170.0,64.0,126.0,28.0,226.0,139.0,84.0
20230426,서울특별시,11.0,중랑구,11260.0,경상북도,47.0,54.0,152.0,35.0,68.0,214.0,63.0,178.0,26.0,336.0,141.0,79.0
20230426,서울특별시,11.0,중랑구,11260.0,경상남도,48.0,53.0,226.0,40.0,116.0,335.0,89.0,270.0,49.0,427.0,202.0,99.0
20230426,서울특별시,11.0,중랑구,11260.0,제주특별자치도,50.0,19.0,49.0,0.0,13.0,28.0,11.0,27.0,4.0,72.0,17.0,15.0
20230428,서울특별시,11.0,마포구,11440.0,서울특별시,11.0,260.0,1871.0,838.0,1538.0,1483.0,215.0,1245.0,247.0,2482.0,1003.0,664.0
20230428,서울특별시,11.0,마포구,11440.0,부산광역시,26.0,58.0,346.0,182.0,408.0,347.0,52.0,338.0,76.0,554.0,198.0,188.0
20230428,서울특별시,11.0,마포구,11440.0,대구광역시,27.0,36.0,270.0,142.0,295.0,232.0,32.0,229.0,62.0,388.0,145.0,135.0
20230428,서울특별시,11.0,마포구,11440.0,인천광역시,28.0,78.0,390.0,185.0,437.0,385.0,42.0,343.0,67.0,517.0,228.0,201.0
20230428,서울특별시,11.0,마포구,11440.0,광주광역시,29.0,27.0,179.0,70.0,179.0,158.0,23.0,172.0,39.0,255.0,103.0,77.0
20230428,서울특별시,11.0,마포구,11440.0,대전광역시,30.0,32.0,177.0,91.0,210.0,183.0,20.0,181.0,33.0,263.0,101.0,69.0
20230428,서울특별시,11.0,마포구,11440.0,울산광역시,31.0,17.0,89.0,85.0,161.0,130.0,16.0,87.0,26.0,141.0,67.0,64.0
20230428,서울특별시,11.0,마포구,11440.0,세종특별자치시,36.0,7.0,62.0,39.0,58.0,55.0,0.0,56.0,10.0,65.0,29.0,15.0
20230428,서울특별시,11.0,마포구,11440.0,경기도,41.0,285.0,2008.0,1011.0,2090.0,1974.0,282.0,1693.0,432.0,2842.0,1093.0,914.0
20230428,서울특별시,11.0,마포구,11440.0,강원도,42.0,34.0,169.0,87.0,284.0,186.0,21.0,175.0,37.0,227.0,103.0,90.0
20230428,서울특별시,11.0,마포구,11440.0,충청북도,43.0,28.0,170.0,90.0,284.0,197.0,25.0,191.0,47.0,292.0,88.0,67.0
20230428,서울특별시,11.0,마포구,11440.0,충청남도,44.0,37.0,258.0,140.0,342.0,281.0,31.0,213.0,95.0,328.0,136.0,109.0
20230428,서울특별시,11.0,마포구,11440.0,전라북도,45.0,52.0,173.0,93.0,260.0,176.0,19.0,165.0,34.0,269.0,89.0,81.0
20230428,서울특별시,11.0,마포구,11440.0,전라남도,46.0,29.0,173.0,71.0,254.0,195.0,23.0,176.0,41.0,203.0,82.0,77.0
20230428,서울특별시,11.0,마포구,11440.0,경상북도,47.0,39.0,230.0,145.0,310.0,262.0,22.0,239.0,58.0,361.0,144.0,146.0
20230428,서울특별시,11.0,마포구,11440.0,경상남도,48.0,49.0,344.0,148.0,471.0,361.0,43.0,321.0,71.0,420.0,181.0,190.0
20230428,서울특별시,11.0,마포구,11440.0,제주특별자치도,50.0,14.0,45.0,48.0,59.0,58.0,5.0,25.0,42.0,94.0,36.0,29.0
20230407,서울특별시,11.0,성동구,11200.0,서울특별시,11.0,198.0,1817.0,453.0,638.0,798.0,143.0,770.0,137.0,3755.0,1968.0,838.0
20230407,서울특별시,11.0,성동구,11200.0,부산광역시,26.0,47.0,452.0,97.0,118.0,202.0,37.0,196.0,36.0,813.0,446.0,129.0
20230407,서울특별시,11.0,성동구,11200.0,대구광역시,27.0,29.0,287.0,64.0,93.0,154.0,17.0,165.0,23.0,640.0,358.0,84.0
20230407,서울특별시,11.0,성동구,11200.0,인천광역시,28.0,59.0,420.0,56.0,150.0,195.0,32.0,213.0,34.0,877.0,455.0,112.0
20230407,서울특별시,11.0,성동구,11200.0,광주광역시,29.0,27.0,149.0,26.0,80.0,99.0,15.0,102.0,13.0,414.0,214.0,58.0
20230407,서울특별시,11.0,성동구,11200.0,대전광역시,30.0,24.0,157.0,47.0,63.0,115.0,19.0,100.0,15.0,380.0,226.0,47.0
20230407,서울특별시,11.0,성동구,11200.0,울산광역시,31.0,16.0,86.0,35.0,44.0,70.0,8.0,64.0,14.0,256.0,136.0,37.0
20230407,서울특별시,11.0,성동구,11200.0,세종특별자치시,36.0,4.0,33.0,12.0,29.0,29.0,8.0,19.0,6.0,128.0,76.0,13.0
20230407,서울특별시,11.0,성동구,11200.0,경기도,41.0,268.0,1735.0,432.0,728.0,1118.0,197.0,1003.0,207.0,4561.0,2192.0,559.0
20230407,서울특별시,11.0,성동구,11200.0,강원도,42.0,21.0,140.0,31.0,64.0,122.0,190.0,90.0,16.0,433.0,155.0,51.0
20230407,서울특별시,11.0,성동구,11200.0,충청북도,43.0,24.0,180.0,23.0,61.0,109.0,8.0,97.0,14.0,441.0,195.0,52.0
20230407,서울특별시,11.0,성동구,11200.0,충청남도,44.0,36.0,207.0,64.0,109.0,129.0,18.0,160.0,29.0,513.0,259.0,71.0
20230407,서울특별시,11.0,성동구,11200.0,전라북도,45.0,15.0,144.0,32.0,69.0,112.0,14.0,88.0,14.0,409.0,186.0,59.0
20230407,서울특별시,11.0,성동구,11200.0,전라남도,46.0,15.0,126.0,39.0,59.0,87.0,20.0,103.0,8.0,371.0,195.0,48.0
20230407,서울특별시,11.0,성동구,11200.0,경상북도,47.0,27.0,178.0,50.0,101.0,184.0,19.0,135.0,20.0,525.0,251.0,81.0
20230407,서울특별시,11.0,성동구,11200.0,경상남도,48.0,35.0,241.0,68.0,103.0,182.0,58.0,229.0,30.0,655.0,331.0,106.0
20230407,서울특별시,11.0,성동구,11200.0,제주특별자치도,50.0,8.0,48.0,19.0,15.0,32.0,3.0,30.0,5.0,146.0,87.0,19.0
20230411,서울특별시,11.0,서대문구,11410.0,서울특별시,11.0,150.0,482.0,272.0,882.0,879.0,150.0,291.0,638.0,1502.0,759.0,849.0
20230411,서울특별시,11.0,서대문구,11410.0,부산광역시,26.0,61.0,84.0,46.0,297.0,307.0,56.0,50.0,258.0,425.0,255.0,297.0
20230411,서울특별시,11.0,서대문구,11410.0,대구광역시,27.0,41.0,79.0,28.0,192.0,231.0,37.0,42.0,176.0,300.0,158.0,166.0
20230411,서울특별시,11.0,서대문구,11410.0,인천광역시,28.0,44.0,105.0,42.0,253.0,270.0,61.0,48.0,260.0,447.0,239.0,253.0
20230411,서울특별시,11.0,서대문구,11410.0,광주광역시,29.0,28.0,49.0,12.0,113.0,141.0,23.0,20.0,131.0,206.0,135.0,111.0
20230411,서울특별시,11.0,서대문구,11410.0,대전광역시,30.0,31.0,51.0,20.0,136.0,148.0,27.0,21.0,133.0,172.0,104.0,152.0
20230411,서울특별시,11.0,서대문구,11410.0,울산광역시,31.0,20.0,33.0,18.0,93.0,119.0,30.0,23.0,78.0,158.0,95.0,75.0
20230411,서울특별시,11.0,서대문구,11410.0,세종특별자치시,36.0,6.0,16.0,3.0,28.0,28.0,0.0,5.0,67.0,59.0,23.0,32.0
20230411,서울특별시,11.0,서대문구,11410.0,경기도,41.0,258.0,588.0,222.0,1198.0,1517.0,251.0,346.0,1199.0,2219.0,1073.0,1038.0
20230411,서울특별시,11.0,서대문구,11410.0,강원도,42.0,22.0,50.0,22.0,107.0,204.0,39.0,39.0,136.0,230.0,121.0,63.0
20230411,서울특별시,11.0,서대문구,11410.0,충청북도,43.0,27.0,50.0,11.0,102.0,201.0,23.0,22.0,137.0,274.0,155.0,214.0
20230411,서울특별시,11.0,서대문구,11410.0,충청남도,44.0,39.0,52.0,22.0,162.0,237.0,37.0,31.0,179.0,327.0,171.0,123.0
20230411,서울특별시,11.0,서대문구,11410.0,전라북도,45.0,34.0,62.0,26.0,121.0,197.0,24.0,19.0,104.0,262.0,124.0,170.0
20230411,서울특별시,11.0,서대문구,11410.0,전라남도,46.0,31.0,54.0,18.0,108.0,209.0,14.0,36.0,146.0,257.0,125.0,154.0
20230411,서울특별시,11.0,서대문구,11410.0,경상북도,47.0,54.0,65.0,28.0,185.0,282.0,54.0,35.0,176.0,350.0,183.0,121.0
20230411,서울특별시,11.0,서대문구,11410.0,경상남도,48.0,56.0,110.0,39.0,255.0,380.0,54.0,48.0,264.0,487.0,249.0,184.0
20230411,서울특별시,11.0,서대문구,11410.0,제주특별자치도,50.0,18.0,19.0,9.0,41.0,65.0,16.0,11.0,27.0,83.0,59.0,29.0
20230412,서울특별시,11.0,종로구,11110.0,서울특별시,11.0,206.0,963.0,290.0,343.0,727.0,54.0,579.0,117.0,2830.0,1221.0,285.0
20230412,서울특별시,11.0,종로구,11110.0,부산광역시,26.0,49.0,193.0,59.0,76.0,190.0,16.0,138.0,33.0,719.0,303.0,78.0
20230412,서울특별시,11.0,종로구,11110.0,대구광역시,27.0,32.0,150.0,67.0,48.0,127.0,13.0,87.0,27.0,525.0,224.0,49.0
20230412,서울특별시,11.0,종로구,11110.0,인천광역시,28.0,72.0,199.0,58.0,88.0,191.0,12.0,132.0,53.0,618.0,305.0,57.0
20230412,서울특별시,11.0,종로구,11110.0,광주광역시,29.0,30.0,67.0,22.0,41.0,96.0,10.0,59.0,33.0,400.0,164.0,36.0
20230412,서울특별시,11.0,종로구,11110.0,대전광역시,30.0,15.0,92.0,32.0,32.0,106.0,9.0,70.0,25.0,355.0,149.0,60.0
20230412,서울특별시,11.0,종로구,11110.0,울산광역시,31.0,22.0,52.0,22.0,21.0,53.0,5.0,33.0,11.0,230.0,96.0,14.0
20230412,서울특별시,11.0,종로구,11110.0,세종특별자치시,36.0,11.0,29.0,13.0,13.0,27.0,0.0,13.0,10.0,90.0,31.0,9.0
20230412,서울특별시,11.0,종로구,11110.0,경기도,41.0,267.0,1050.0,303.0,410.0,1057.0,93.0,638.0,250.0,3276.0,1688.0,315.0
20230412,서울특별시,11.0,종로구,11110.0,강원도,42.0,32.0,108.0,34.0,37.0,90.0,11.0,69.0,67.0,287.0,147.0,48.0
20230412,서울특별시,11.0,종로구,11110.0,충청북도,43.0,30.0,86.0,41.0,44.0,90.0,8.0,60.0,34.0,355.0,162.0,44.0
20230412,서울특별시,11.0,종로구,11110.0,충청남도,44.0,29.0,135.0,37.0,56.0,123.0,18.0,89.0,38.0,457.0,229.0,68.0
20230412,서울특별시,11.0,종로구,11110.0,전라북도,45.0,23.0,97.0,32.0,39.0,128.0,19.0,64.0,62.0,345.0,144.0,35.0
20230412,서울특별시,11.0,종로구,11110.0,전라남도,46.0,21.0,97.0,19.0,42.0,96.0,8.0,60.0,69.0,340.0,154.0,49.0
20230412,서울특별시,11.0,종로구,11110.0,경상북도,47.0,36.0,173.0,49.0,56.0,131.0,14.0,101.0,66.0,547.0,217.0,68.0
20230412,서울특별시,11.0,종로구,11110.0,경상남도,48.0,37.0,200.0,117.0,60.0,182.0,17.0,106.0,87.0,600.0,326.0,53.0
20230412,서울특별시,11.0,종로구,11110.0,제주특별자치도,50.0,9.0,48.0,15.0,14.0,28.0,4.0,18.0,23.0,155.0,56.0,14.0
20230418,서울특별시,11.0,도봉구,11320.0,서울특별시,11.0,102.0,330.0,100.0,490.0,512.0,130.0,323.0,54.0,1374.0,444.0,120.0
20230418,서울특별시,11.0,도봉구,11320.0,부산광역시,26.0,28.0,62.0,19.0,157.0,145.0,38.0,97.0,19.0,389.0,137.0,36.0
20230418,서울특별시,11.0,도봉구,11320.0,대구광역시,27.0,16.0,52.0,16.0,119.0,103.0,50.0,71.0,12.0,289.0,84.0,31.0
20230418,서울특별시,11.0,도봉구,11320.0,인천광역시,28.0,37.0,81.0,25.0,148.0,169.0,40.0,87.0,20.0,411.0,121.0,43.0
20230418,서울특별시,11.0,도봉구,11320.0,광주광역시,29.0,12.0,39.0,4.0,104.0,74.0,26.0,31.0,9.0,213.0,62.0,22.0
20230418,서울특별시,11.0,도봉구,11320.0,대전광역시,30.0,9.0,38.0,8.0,63.0,87.0,18.0,32.0,9.0,218.0,66.0,17.0
20230418,서울특별시,11.0,도봉구,11320.0,울산광역시,31.0,8.0,15.0,8.0,56.0,47.0,17.0,27.0,7.0,150.0,26.0,12.0
20230418,서울특별시,11.0,도봉구,11320.0,세종특별자치시,36.0,4.0,7.0,0.0,18.0,16.0,7.0,11.0,3.0,53.0,23.0,6.0
20230418,서울특별시,11.0,도봉구,11320.0,경기도,41.0,168.0,476.0,114.0,804.0,815.0,252.0,480.0,127.0,2183.0,688.0,191.0
20230418,서울특별시,11.0,도봉구,11320.0,강원도,42.0,10.0,34.0,9.0,101.0,87.0,27.0,43.0,11.0,195.0,64.0,35.0
20230418,서울특별시,11.0,도봉구,11320.0,충청북도,43.0,18.0,23.0,11.0,95.0,95.0,27.0,41.0,22.0,276.0,65.0,16.0
20230418,서울특별시,11.0,도봉구,11320.0,충청남도,44.0,21.0,51.0,11.0,137.0,114.0,30.0,66.0,22.0,286.0,103.0,23.0
20230418,서울특별시,11.0,도봉구,11320.0,전라북도,45.0,12.0,35.0,12.0,91.0,101.0,21.0,45.0,10.0,191.0,64.0,25.0
20230418,서울특별시,11.0,도봉구,11320.0,전라남도,46.0,19.0,36.0,6.0,91.0,82.0,36.0,42.0,6.0,228.0,66.0,23.0
20230418,서울특별시,11.0,도봉구,11320.0,경상북도,47.0,25.0,53.0,14.0,123.0,126.0,29.0,61.0,15.0,264.0,111.0,35.0
20230418,서울특별시,11.0,도봉구,11320.0,경상남도,48.0,23.0,120.0,14.0,151.0,168.0,55.0,87.0,26.0,450.0,143.0,44.0
20230418,서울특별시,11.0,도봉구,11320.0,제주특별자치도,50.0,3.0,7.0,0.0,17.0,18.0,3.0,7.0,0.0,64.0,14.0,3.0
20230420,서울특별시,11.0,강서구,11500.0,서울특별시,11.0,259.0,1531.0,448.0,1108.0,1740.0,376.0,2481.0,253.0,2541.0,1869.0,1619.0
20230420,서울특별시,11.0,강서구,11500.0,부산광역시,26.0,70.0,386.0,112.0,301.0,587.0,149.0,730.0,82.0,630.0,425.0,374.0
20230420,서울특별시,11.0,강서구,11500.0,대구광역시,27.0,56.0,318.0,86.0,225.0,369.0,79.0,462.0,55.0,417.0,297.0,309.0
20230420,서울특별시,11.0,강서구,11500.0,인천광역시,28.0,67.0,404.0,100.0,341.0,583.0,113.0,707.0,101.0,722.0,391.0,381.0
20230420,서울특별시,11.0,강서구,11500.0,광주광역시,29.0,36.0,188.0,55.0,142.0,254.0,41.0,451.0,54.0,379.0,238.0,181.0
20230420,서울특별시,11.0,강서구,11500.0,대전광역시,30.0,29.0,163.0,56.0,171.0,259.0,59.0,324.0,56.0,311.0,174.0,198.0
20230420,서울특별시,11.0,강서구,11500.0,울산광역시,31.0,19.0,125.0,35.0,97.0,180.0,50.0,210.0,28.0,217.0,124.0,142.0
20230420,서울특별시,11.0,강서구,11500.0,세종특별자치시,36.0,7.0,43.0,10.0,42.0,65.0,9.0,124.0,18.0,126.0,58.0,46.0
20230420,서울특별시,11.0,강서구,11500.0,경기도,41.0,387.0,2098.0,476.0,1585.0,2577.0,780.0,3564.0,497.0,4543.0,2215.0,2152.0
20230420,서울특별시,11.0,강서구,11500.0,강원도,42.0,35.0,154.0,35.0,149.0,323.0,58.0,355.0,38.0,506.0,244.0,218.0
20230420,서울특별시,11.0,강서구,11500.0,충청북도,43.0,52.0,191.0,49.0,169.0,333.0,55.0,418.0,49.0,773.0,308.0,262.0
20230420,서울특별시,11.0,강서구,11500.0,충청남도,44.0,69.0,253.0,58.0,239.0,438.0,110.0,551.0,296.0,851.0,351.0,287.0
20230420,서울특별시,11.0,강서구,11500.0,전라북도,45.0,42.0,167.0,43.0,162.0,271.0,68.0,364.0,37.0,542.0,277.0,214.0
20230420,서울특별시,11.0,강서구,11500.0,전라남도,46.0,40.0,167.0,47.0,149.0,358.0,68.0,407.0,57.0,774.0,288.0,254.0
20230420,서울특별시,11.0,강서구,11500.0,경상북도,47.0,57.0,267.0,58.0,273.0,463.0,108.0,568.0,64.0,912.0,414.0,312.0
20230420,서울특별시,11.0,강서구,11500.0,경상남도,48.0,75.0,359.0,83.0,267.0,606.0,149.0,761.0,80.0,1022.0,477.0,420.0
20230420,서울특별시,11.0,강서구,11500.0,제주특별자치도,50.0,10.0,71.0,3.0,36.0,118.0,19.0,43.0,6.0,106.0,56.0,46.0
20230411,서울특별시,11.0,광진구,11215.0,서울특별시,11.0,242.0,866.0,253.0,391.0,945.0,114.0,265.0,117.0,2404.0,950.0,164.0
20230411,서울특별시,11.0,광진구,11215.0,부산광역시,26.0,80.0,146.0,48.0,96.0,215.0,36.0,73.0,24.0,583.0,265.0,40.0
20230411,서울특별시,11.0,광진구,11215.0,대구광역시,27.0,52.0,90.0,39.0,62.0,147.0,26.0,46.0,23.0,432.0,150.0,38.0
20230411,서울특별시,11.0,광진구,11215.0,인천광역시,28.0,60.0,157.0,50.0,99.0,229.0,42.0,62.0,32.0,639.0,228.0,34.0
20230411,서울특별시,11.0,광진구,11215.0,광주광역시,29.0,28.0,61.0,24.0,28.0,100.0,10.0,33.0,14.0,289.0,135.0,22.0
20230411,서울특별시,11.0,광진구,11215.0,대전광역시,30.0,36.0,59.0,13.0,42.0,153.0,22.0,36.0,16.0,287.0,112.0,15.0
20230411,서울특별시,11.0,광진구,11215.0,울산광역시,31.0,20.0,49.0,17.0,36.0,76.0,16.0,30.0,8.0,196.0,74.0,11.0
20230411,서울특별시,11.0,광진구,11215.0,세종특별자치시,36.0,6.0,16.0,5.0,7.0,39.0,7.0,6.0,5.0,78.0,29.0,11.0
20230411,서울특별시,11.0,광진구,11215.0,경기도,41.0,318.0,898.0,239.0,552.0,1352.0,229.0,338.0,157.0,3073.0,1090.0,230.0
20230411,서울특별시,11.0,광진구,11215.0,강원도,42.0,21.0,65.0,19.0,41.0,138.0,12.0,35.0,13.0,324.0,108.0,28.0
20230411,서울특별시,11.0,광진구,11215.0,충청북도,43.0,38.0,55.0,20.0,51.0,132.0,27.0,31.0,24.0,324.0,133.0,18.0
20230411,서울특별시,11.0,광진구,11215.0,충청남도,44.0,57.0,94.0,28.0,73.0,216.0,42.0,61.0,30.0,411.0,150.0,29.0
20230411,서울특별시,11.0,광진구,11215.0,전라북도,45.0,40.0,77.0,20.0,42.0,126.0,20.0,39.0,15.0,308.0,111.0,26.0
20230411,서울특별시,11.0,광진구,11215.0,전라남도,46.0,23.0,65.0,14.0,42.0,140.0,17.0,43.0,9.0,276.0,127.0,23.0
20230411,서울특별시,11.0,광진구,11215.0,경상북도,47.0,47.0,96.0,26.0,66.0,200.0,26.0,68.0,31.0,419.0,155.0,44.0
20230411,서울특별시,11.0,광진구,11215.0,경상남도,48.0,65.0,138.0,34.0,83.0,216.0,45.0,63.0,38.0,591.0,197.0,58.0
20230411,서울특별시,11.0,광진구,11215.0,제주특별자치도,50.0,0.0,27.0,5.0,16.0,42.0,5.0,12.0,3.0,105.0,19.0,0.0
20230430,서울특별시,11.0,도봉구,11320.0,서울특별시,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20230403,서울특별시,11.0,서초구,11650.0,서울특별시,11.0,452.0,1888.0,1325.0,689.0,2148.0,272.0,2486.0,292.0,2281.0,786.0,1041.0
20230403,서울특별시,11.0,서초구,11650.0,부산광역시,26.0,101.0,388.0,269.0,157.0,596.0,52.0,610.0,108.0,516.0,206.0,246.0
20230403,서울특별시,11.0,서초구,11650.0,대구광역시,27.0,85.0,342.0,237.0,95.0,437.0,65.0,419.0,65.0,326.0,126.0,174.0
20230403,서울특별시,11.0,서초구,11650.0,인천광역시,28.0,100.0,349.0,296.0,144.0,535.0,66.0,621.0,92.0,488.0,206.0,238.0
20230403,서울특별시,11.0,서초구,11650.0,광주광역시,29.0,39.0,165.0,162.0,85.0,242.0,26.0,311.0,33.0,240.0,84.0,106.0
20230403,서울특별시,11.0,서초구,11650.0,대전광역시,30.0,43.0,177.0,154.0,64.0,247.0,33.0,292.0,34.0,240.0,93.0,111.0
20230403,서울특별시,11.0,서초구,11650.0,울산광역시,31.0,39.0,143.0,98.0,50.0,172.0,24.0,216.0,37.0,149.0,65.0,79.0
20230403,서울특별시,11.0,서초구,11650.0,세종특별자치시,36.0,16.0,72.0,49.0,31.0,74.0,11.0,64.0,25.0,74.0,23.0,22.0
